id_article,authors,title,year,volume,first_page,last_page,pubmed,medline
8474,"DiNatale, P. and Ronsivalle, L.",Identification and partial characterization of two enzyme forms of iduronate sulfatase from human placenta.,1981,661,106,111,6945876,82046691
8475,"Yutaka, T., Fluharty, A.L., Stevens, R.L. and Kihara, H.",Purification and some properties of human liver iduronate sulfatase.,1982,91,433,441,6950934,82167323
8476,"Basner, R., Kresse, H. and von Figura, K.",N-acetylglucosamine-6-sulfate sulfatase from human urine.,1979,254,1151,1158,762121,79109692
8477,"Kresse, H., Fuchs, W., Gloessl, J., Holtfrerich, D. and Gilberg, W.",Liberation of N-acetylglucosamine-6-sulfate by human beta-N-acetylhexosaminidase A.,1981,256,12926,12932,6458607,82075819
8478,"Weissmann, B., Chao, H. and Chow, P.","A glucosamine O,N-disulfate O-sulfohydrolase with a probable role in mammalian catabolism of heparan sulfate.",1980,97,827,833,6451222,81133659
8479,"Bruce, J.S., McLean, M.W., Long, W.F. and Williamson, F.B.",Flavobacterium heparinum 3-O-sulphatase for N-substituted glucosamine 3-O-sulfate.,1985,148,359,365,3987694,85179492
8480,"Leder, I.G.",A novel 3-O sulfatase from human urine acting on methyl-2-deoxy-2-sulfamino-alpha-D-glucopyranoside 3-sulfate.,1980,94,1183,1189,7396957,80242034
8481,"Ghisalba, O. and Kueenzi, M.",Biodegradation and utilization of monomethyl sulfate by specialized methylotrophs. ,1983,39,1257,1263,6641899,84058248
8482,"Crescenzi, A.M.V., Dodgson, K.S. and White, G.F.",Purification and some properties of the D-lactate-2-sulphatase of Pseudomonas syringae GG.,1984,223,487,494,6497859,85046451
8483,"Shaklee, P.N., Glaser, J.H. and Conrad, H.E.",A sulfatase specific for glucuronic acid 2-sulfate residues in glycosaminoglycans. ,1985,260,9146,9149,4019466,85261294
8484,"Pogorevc, M., Faber, K.",Purification and characterization of an inverting stereo- and enantioselective sec-alkylsulfatase from the gram-positive bacterium Rhodococcus ruber DSM 44541.,2003,69,2810,2815,12732552,NULL
8485,"Wallner, S. R., Nestl, B. M., Faber, K.",Highly enantioselective sec-alkyl sulfatase activity of Sulfolobus acidocaldarius DSM 639.,2004,6,5009,5010,15606122,NULL
8486,"Knaus, T., Schober, M., Kepplinger, B., Faccinelli, M., Pitzer, J., Faber, K., Macheroux, P., Wagner, U.",Structure and mechanism of an inverting alkylsulfatase from Pseudomonas sp. DSM6611 specific for secondary alkyl sulfates.,2012,279,4374,4384,23061549,NULL
8487,"Schober, M., Knaus, T., Toesch, M., Macheroux, P., Wagner, U. and Faber, K.",The substrate spectrum of the inverting sec-alkylsulfatase Pisa1.,2012,354,1737,1742,NULL,NULL
8488,"Tsai, S.-C. and Gaylor, J.L.",Testicular sterols. V. Preparation and partial purification of a microsomal prenol pyrophosphate pyrophosphohydrolase. ,1966,241,4043,4050,4288361,67020683
8489,"Heinemeyer, E.-A. and Richter, D.",Characterization of the guanosine 5'-triphosphate 3'-diphosphate and guanosine 5'-diphosphate 3'-diphosphate degradation reaction catalyzed by a specific pyrophosphorylase from Escherichia coli.,1978,17,5368,5372,365225,79082802
8490,"Richter, D., Fehr, S. and Harder, R.","The guanosine 3',5'-bis(diphosphate) (ppGpp) cycle. Comparison of synthesis and degradation of guanosine 3',5'-bis(diphosphate) in various bacterial systems. ",1979,99,57,64,114395,80024309
8491,"Croteau, R. and Karp, F.","Biosynthesis of monoterpenes: hydrolysis of bornyl pyrophosphate, an essential step in camphor biosynthesis, and hydrolysis of geranyl pyrophosphate, the acyclic precursor of camphor, by enzymes from sage (Salvia officinalis).",1979,198,523,532,42357,80086557
8492,"Nualkaew, N., De-Eknamkul, W., Kutchan, T.M. and Zenk, M.H.",Membrane-bound geranylgeranyl diphosphate phosphatases: purification and characterization from Croton stellatopilosus leaves.,2006,67,1613,1620,16445953,NULL
8493,"Song, L.","A soluble form of phosphatase in Saccharomyces cerevisiae capable of converting farnesyl diphosphate into E,E-farnesol.",2006,128,149,158,16484724,NULL
8494,"Tsai, S. C., Gaylor, J. L.",Testicular sterols. V. Preparation and partial purification of a microsomal prenol pyrophosphate pyrophosphohydrolase.,1966,241,4043,4050,4288361,NULL
8495,"Banthorpe, D.V., Brown, J.T. and Morris, G.S.","Partial purification of farnesyl pyrophosphate:drimenol cyclase and geranylgeranyl pyrophosphate:sclareol cyclase, using cell culture as a source of material.",1992,31,3391,3395,NULL,NULL
8496,"Nakano, C., Ootsuka, T., Takayama, K., Mitsui, T., Sato, T., Hoshino, T.","Characterization of the Rv3378c gene product, a new diterpene synthase for producing tuberculosinol and (13R,S)-isotuberculosinol (nosyberkol), from the Mycobacterium tuberculosis H37Rv genome.",2011,75,75,81,21228491,NULL
8497,"Hoshino, T., Nakano, C., Ootsuka, T., Shinohara, Y., Hara, T.","Substrate specificity of Rv3378c, an enzyme from Mycobacterium tuberculosis, and the inhibitory activity of the bicyclic diterpenoids against macrophage phagocytosis.",2011,9,2156,2165,21290071,NULL
8498,"Nakano, C., Ootsuka, T., Takayama, K., Mitsui, T., Sato, T., Hoshino, T.","Characterization of the Rv3378c gene product, a new diterpene synthase for producing tuberculosinol and (13R, S)-isotuberculosinol (nosyberkol), from the Mycobacterium tuberculosis H37Rv genome.",2011,75,75,81,21228491,NULL
8499,"Hoshino, T., Nakano, C., Ootsuka, T., Shinohara, Y., Hara, T.","Substrate specificity of Rv3378c, an enzyme from Mycobacterium tuberculosis, and the inhibitory activity of the bicyclic diterpenoids against macrophage phagocytosis.",2011,9,2156,2165,21290071,NULL
8500,"Mafu, S., Hillwig, M. L., Peters, R. J.","A novel labda-7,13e-dien-15-ol-producing bifunctional diterpene synthase from Selaginella moellendorffii.",2011,12,1984,1987,21751328,NULL
8501,"Iijima, Y., Gang, D. R., Fridman, E., Lewinsohn, E., Pichersky, E.",Characterization of geraniol synthase from the peltate glands of sweet basil.,2004,134,370,379,14657409,NULL
8502,"Yang, T., Li, J., Wang, H. X., Zeng, Y.",A geraniol-synthase gene from Cinnamomum tenuipilum.,2005,66,285,293,15680985,NULL
8503,"Aldridge, W.N.","Serum esterases. I. Two types of esterase (A and B) hydrolyzing p-nitrophenyl acetate, propionate and butyrate and a method for their determination.",1953,53,110,117,13032041,NULL
8504,"Bosmann, H.B.",Membrane marker enzymes. Characterization of an arylesterase of guinea pig cerebral cortex utilizing p-nitrophenyl acetate as substrate.,1972,276,180,191,5047702,72243024
8505,"Mackness, M.I., Thompson, H.M., Hardy, A.R. and Walker, C.H.",Distinction between 'A'-esterases and arylesterases. Implications for esterase classification. ,1987,245,293,296,2822017,88024054
8506,"Main, A.R.",The differentiation of the A-type esterases in sheep serum. ,1989,75,188,195,14420012,NULL
8507,"Augustinsson, K.-B. and Heimburger, G.",Enzymatic hydrolysis of organophosphorus compounds. I. Occurrence of enzymes hydrolyzing dimethyl-amido-ethoxy-phosphoryl cyanide (Tabun).,1954,8,753,761,NULL,NULL
8508,"Augustinsson, K.-B. and Heimburger, G.",Enzymatic hydrolysis of organophosphorus compounds. II. Analysis of reaction products in experiments with Tabun and some properties of blood plasma tabunase.,1954,8,762,767,NULL,NULL
8509,"Augustinsson, K.-B. and Heimburger, G.",Enzymatic hydrolysis of organophosphorus compounds. IV. Specificity studies.,1954,8,1533,1541,NULL,NULL
8510,"Cohen, J.A. and Warringa, M.G.P.J.",Purification and properties of dialkylfluorophosphatase.,1957,26,29,39,NULL,NULL
8511,"Mounter, L.A.",Enzymic hydrolysis of organophosphorus compounds.,1989,4,541,550,NULL,NULL
8512,"Blakesley, R.W., Dodgson, J.B., Nes, I.F. and Wells, R.D.",Duplex regions in single-stranded phiX174 DNA are cleaved by a restriction endonuclease from Haemophilus aegyptius.,1977,252,7300,7306,71298,78005543
8513,"Kelley, R.B., Atkinson, M.R., Huberman, J.A. and Kornberg, A.",Excision of thymine dimers and other mismatched sequences by DNA polymerases of Escherichia coli.,1969,224,495,501,NULL,NULL
8514,"Lehman, I.R. and Nussbaum, A.L.",The deoxyribonucleases of Escherichia coli. V. On the specificity of exonuclease I (phosphodiesterase). ,1964,239,2628,2636,NULL,NULL
8515,"Lindahl, T., Gally, J.A. and Edelman, G.M.",Properties of deoxyribonuclease 3 from mammalian tissues.,1969,244,5014,5019,5824576,70004766
8516,"Richardson, C.C. and Kornberg, A.",A deoxyribonucleic acid phosphatase-exonuclease from Escherichia coli. I. Purification of the enzyme and characterization of the phosphatase activity.,1964,239,242,250,14114850,NULL
8517,"Richardson, C.C., Lehman, I.R. and Kornberg, A.",A deoxyribonucleic acid phosphatase-exonuclease from Escherichia coli. II. Characterization of the exonuclease activity.,1964,239,251,258,14114851,NULL
8518,"Lindahl, T., Gally, J.A. and Edelman, G.M.",Deoxyribonuclease IV: a new exonuclease from mammalian tissues. ,1969,62,597,603,5256235,69240849
8519,"Little, J.W.",An exonuclease induced by bacteriophage lambda. II. Nature of the enzymatic reaction. ,1967,242,679,686,6017737,67089740
8520,"Trilling, D.M. and A-Poshian, H.V.",Sequential cleavage of dinucleotides from DNA by phage Sp3 DNase. ,1968,60,214,221,4968633,68287273
8521,"Eichler, D.C. and Lehman, I.R.",On the role of ATP in phosphodiester bond hydrolysis catalyzed by the recBC deoxyribonuclease of Escherichia coli.,1977,252,499,503,319095,77093842
8522,"Goldmark, P.J. and Liun, S.",Purification and properties of the recBC DNase of Escherichia coli K-12.,1972,247,1849,1860,4552016,72136303
8523,"Oishi, M.",An ATP-dependent deoxyribonuclease from Escherichia coli with a possible role in genetic recombination.,1969,64,1292,1299,4916924,70280340
8524,"Wright, M., Buttin, G. and Hurwitz, J.","The isolation and characterization from Escherichia coli of an adenosine triphosphate-dependent deoxyribonuclease directed by rec B, C genes.",1971,246,6543,6555,4332130,72076843
8525,"Chase, J.W. and Richardson, C.C.",Ribonuclease VII of Escherichia coli.,1974,249,4545,4552,NULL,NULL
8526,"Chase, J.W. and Richardson, C.C.",Exonuclease VII of Escherichia coli.,1974,249,4553,4561,NULL,NULL
8527,"Nossal, N.G. and Singer, M.",The processive degradation of individual polyribonucleotide chains. I. Escherichia coli ribonuclease II.,1968,243,913,922,4867942,68161666
8528,"Schmidt, F.J. and McClain, W.H.",An Escherichia coli ribonuclease which removes an extra nucleotide from a biosynthetic intermediate of bacteriophage T(4) proline transfer RNA.,1978,5,4129,4139,364422,79074275
8529,"Shimura, Y., Sakano, H. and Nagawa, F.",Specific ribonucleases involved in processing of tRNA precursors of Escherichia coli. Partial purification and some properties.,1978,86,267,281,350582,78190628
8530,"Sporn, M.B., Lazarus, H.M. Smith, J.M. and Henderson, W.R.",Studies on nuclear exoribonucleases. 3. Isolation and properties of the enzyme from normal and malignant tissues of the mouse.,1969,8,1698,1706,5805304,69275246
8531,"Schatz, O., Mous, J., Le Grice, S. F.",HIV-1 RT-associated ribonuclease H displays both endonuclease and 3'--5' exonuclease activity.,1990,9,1171,1176,1691093,75116833
8532,"Futai, M. and Mizuno, D.",A new phosphodiesterase forming nucleoside 5'-monophosphate from rat liver. Its partial purification and substrate specificity for nicotinamide adenine dinucleotide and oligonucleotides.,1967,242,5301,5307,4294333,68086696
8533,"Schroeder, H.C., Zahn, R.K., Dose, K. and Mueller, E.G.",Purification and characterization of a poly(A)-specific exoribonuclease from calf thymus. ,1980,255,4535,4538,6246077,80182109
8534,"Ghosh, R.K. and Deutscher, M.P.",Identification of an Escherichia coli nuclease acting on structurally altered transfer RNA molecules.,1978,253,997,1000,342522,NULL
8535,"Cudny, H., Zaniewski, R. and Deutscher, M.P.",Escherichia coli RNase D. Purification and structural characterization of a putative processing nuclease.,1981,256,5627,5632,6263885,NULL
8536,"Cudny, H., Zaniewski, R. and Deutscher, M.P.",Escherichia coli RNase D. Catalytic properties and substrate specificity.,1981,256,5633,5637,6263886,NULL
8537,"Zhang, J. and Deutscher, M.P.","Cloning, characterization, and effects of overexpression of the Escherichia coli rnd gene encoding RNase D.",1988,170,522,527,2828310,NULL
8538,"Otaka, Y., Uchida, T. and Sakai, T.",Purification and properties of ribonuclease from yeast.,1963,54,322,327,NULL,NULL
8539,"Laskowski, M., Sr.",Pancreatic deoxyribonuclease I,1966,NULL,85,101,NULL,NULL
8540,"Bernardi, A. and Bernardi, G.",Spleen acid nuclease.,1971,4,329,336,NULL,NULL
8541,"Privat de Garilhe, M. and Laskowski, M.",Study of the enzymatic degradation of deoxyribonucleic acid by two different deoxyribonucleodepolymerases. ,1955,215,269,276,NULL,NULL
8542,"Kunitz, M.",Isolation of crystalline deoxyribonuclease from beef pancreas. ,1948,108,19,20,NULL,NULL
8543,"Laskowski, M., Sr.",Venom exonuclease.,1971,4,313,328,NULL,NULL
8544,"Friedberg, E.C. and Goldthwait, D.A.",Endonuclease II of E. coli. I. Isolation and purification.,1969,62,934,940,4895219,69255480
8545,"Friedberg, E.C., Hadi, S.-M. and Goldthwait, D.A.",Endonuclease II of Escherichia coli. II. Enzyme properties and studies on the degradation of alkylated and native deoxyribonucleic acid.,1969,244,5879,5889,4981786,70032802
8546,"Hadi, S.M. and Goldthwait, D.A.",Endonuclease II of Escherichia coli. Degradation of partially depurinated deoxyribonucleic acid.,1971,10,4986,4993,4944066,72083797
8547,"Cunningham, R. P., Saporito, S. M., Spitzer, S. G., Weiss, B.",Endonuclease IV (nfo) mutant of Escherichia coli.,1986,168,1120,1127,2430946,70032844
8548,"Ide, H., Tedzuka, K., Shimzu, H., Kimura, Y., Purmal, A. A., Wallace, S. S., Kow, Y. W.","Alpha-deoxyadenosine, a major anoxic radiolysis product of adenine in DNA, is a substrate for Escherichia coli endonuclease IV.",1994,33,7842,7847,7516707,NULL
8549,"Hosfield, D. J., Guan, Y., Haas, B. J., Cunningham, R. P., Tainer, J. A.",Structure of the DNA repair enzyme endonuclease IV and its DNA complex: double-nucleotide flipping at abasic sites and three-metal-ion catalysis.,1999,98,397,408,10458614,NULL
8550,"Roberts, R.J.",Restriction enzymes and their isoschizomers.,1990,18,2331,2365,2159140,90238874
8551,"Roberts, R.J. and Macelis, D.",REBASE--restriction enzymes and methylases.,2001,29,268,269,11125108,NULL
8552,"Roberts, R.J., Belfort, M., Bestor, T., Bhagwat, A.S., Bickle, T.A., Bitinaite, J., Blumenthal, R.M., Degtyarev, S.Kh., Dryden, D.T., Dybvig, K., Firman, K., Gromova, E.S., Gumport, R.I., Halford, S.E., Hattman, S., Heitman, J., Hornby, D.P., Janulaitis, A., Jeltsch, A., Josephsen, J., Kiss, A., Klaenhammer, T.R., Kobayashi, I., Kong, H., Krueger, D.H., Lacks, S., Marinus, M.G., Miyahara, M., Morgan, R.D., Murray, N.E., Nagaraja, V., Piekarowicz, A., Pingoud, A., Raleigh, E., Rao, D.N., Reich, N., Repin, V.E., Selker, E.U., Shaw, P.C., Stein, D.C., Stoddard, B.L., Szybalski, W., Trautner, T.A., Van Etten, J.L., Vitor, J.M., Wilson, G.G. and Xu, S.Y.","A nomenclature for restriction enzymes, DNA methyltransferases, homing endonucleases and their genes.",2003,31,1805,1812,12654995,NULL
8553,"Roberts, R.J.",Restriction enzymes and their isoschizomers. ,1990,18,2331,2365,2159140,90238874
8554,"Roberts, R.J. and Macelis, D.",REBASE--restriction enzymes and methylases.,2001,29,268,269,11125108,NULL
8555,"Roberts, R.J., Belfort, M., Bestor, T., Bhagwat, A.S., Bickle, T.A., Bitinaite, J., Blumenthal, R.M., Degtyarev, S.Kh., Dryden, D.T., Dybvig, K., Firman, K., Gromova, E.S., Gumport, R.I., Halford, S.E., Hattman, S., Heitman, J., Hornby, D.P., Janulaitis, A., Jeltsch, A., Josephsen, J., Kiss, A., Klaenhammer, T.R., Kobayashi, I., Kong, H., Krueger, D.H., Lacks, S., Marinus, M.G., Miyahara, M., Morgan, R.D., Murray, N.E., Nagaraja, V., Piekarowicz, A., Pingoud, A., Raleigh, E., Rao, D.N., Reich, N., Repin, V.E., Selker, E.U., Shaw, P.C., Stein, D.C., Stoddard, B.L., Szybalski, W., Trautner, T.A., Van Etten, J.L., Vitor, J.M., Wilson, G.G. and Xu, S.Y.","A nomenclature for restriction enzymes, DNA methyltransferases, homing endonucleases and their genes.",2003,31,1805,1812,12654995,NULL
8556,"Roberts, R.J.",Restriction enzymes and their isoschizomers. ,1990,18,2331,2365,2159140,90238874
8557,"Roberts, R.J. and Macelis, D.",REBASE--restriction enzymes and methylases.,2001,29,268,269,11125108,NULL
8558,"Roberts, R.J., Belfort, M., Bestor, T., Bhagwat, A.S., Bickle, T.A., Bitinaite, J., Blumenthal, R.M., Degtyarev, S.Kh., Dryden, D.T., Dybvig, K., Firman, K., Gromova, E.S., Gumport, R.I., Halford, S.E., Hattman, S., Heitman, J., Hornby, D.P., Janulaitis, A., Jeltsch, A., Josephsen, J., Kiss, A., Klaenhammer, T.R., Kobayashi, I., Kong, H., Krueger, D.H., Lacks, S., Marinus, M.G., Miyahara, M., Morgan, R.D., Murray, N.E., Nagaraja, V., Piekarowicz, A., Pingoud, A., Raleigh, E., Rao, D.N., Reich, N., Repin, V.E., Selker, E.U., Shaw, P.C., Stein, D.C., Stoddard, B.L., Szybalski, W., Trautner, T.A., Van Etten, J.L., Vitor, J.M., Wilson, G.G. and Xu, S.Y.","A nomenclature for restriction enzymes, DNA methyltransferases, homing endonucleases and their genes.",2003,31,1805,1812,12654995,NULL
8559,"Xia, Y.N., Morgan, R., Schildkraut, I., Van Etten, J.L.",A site-specific single-strand endonuclease activity induced by NYs-1 virus-infection of a Chlorella-like green-alga.,1988,16,9477,9487,3186439,89041544
8560,"A-Paricio, J.F., Lopez-Otin, C., Cal, S., Sanchez, J.",A Streptomyces glaucescens endodeoxyribonuclease which shows a strong preference for CC dinucleotide.,1992,205,695,699,1533367,92241306
8561,"Gates, F.T. and Linn, S.",Endonuclease V of Escherichia coli.,1977,252,1647,1653,14159,NULL
8562,"Carlson, K., Krabbe, M., Nystrom, A. C., Kosturko, L. D.",DNA determinants of restriction. Bacteriophage T4 endonuclease II-dependent cleavage of plasmid DNA in vivo.,1993,268,8908,8918,8386173,NULL
8563,"Carlson, K., Kosturko, L. D.",Endonuclease II of coliphage T4: a recombinase disguised as a restriction endonuclease?,1998,27,671,676,9515694,NULL
8564,"Carlson, K., Kosturko, L. D., Nystrom, A. C.",Sequence-specific cleavage by bacteriophage T4 endonuclease II in vitro.,1999,31,1395,1405,10200960,NULL
8565,"Andersson, C. E., Lagerback, P., Carlson, K.","Structure of bacteriophage T4 endonuclease II mutant E118A, a tetrameric GIY-YIG enzyme.",2010,397,1003,1016,20156453,NULL
8566,"Sadowski, P. D., Hurwitz, J.",Enzymatic breakage of deoxyribonucleic acid. II. Purification and properties of endonuclease IV from T4 phage-infected Escherichia coli.,1969,244,6192,6198,4900512,NULL
8567,"Ling, V.",Partial digestion of 32P-fd DNA with T(4) endonuclease IV.,1971,19,50,54,11946172,NULL
8568,"Sadowski, P. D., Bakyta, I.",T4 endonuclease IV. Improved purification procedure and resolution from T4 endonuclease 3.,1972,247,405,412,4550601,NULL
8569,"Bernardi, A., Maat, J., de Waard, A., Bernardi, G.",Preparation and specificity of endonuclease IV induced by bacteriophage T4.,1976,66,175,179,782881,NULL
8570,"Hirano, N., Ohshima, H., Takahashi, H.","Biochemical analysis of the substrate specificity and sequence preference of endonuclease IV from bacteriophage T4, a dC-specific endonuclease implicated in restriction of dC-substituted T4 DNA synthesis.",2006,34,4743,4751,16971463,NULL
8571,"Ohshima, H., Hirano, N., Takahashi, H.",A hexanucleotide sequence (dC1-dC6 tract) restricts the dC-specific cleavage of single-stranded DNA by endonuclease IV of bacteriophage T4.,2007,35,6681,6689,17940096,NULL
8572,"Bernardi, G.",Spleen acid deoxyribonuclease.,1966,NULL,102,121,NULL,NULL
8573,"Kato, M. and Ikeda, Y.","On the deoxyribonucleases, K(1) and K(2), isolated from mycelia of Aspergillus oryzae. I. Isolation and purification of DNases K(1) and K(2).",1968,64,321,328,4303413,69103190
8574,"Shishido, K., Kato, M. and Ikeda, Y.",Isolation of thymidylic acid-rich fragments from double-stranded deoxyribonucleic acids. ,1968,65,479,481,NULL,NULL
8575,"Symington, L.S. and Kolodner, R.",Partial purification of an enzyme from Saccharomyces cerevisiae that cleaves Holliday junctions.,1985,82,7247,7251,9308179,NULL
8576,"Shida, T., Iwasaki, H., Saito, A., Kyogoku, Y. and Shinagawa, H.",Analysis of substrate specificity of the RuvC holliday junction resolvase with synthetic Holliday junctions.,1996,271,26105,26109,8824253,NULL
8577,"Shah, R., Cosstick, R. and West, S.C.",The RuvC protein dimer resolves Holliday junctions by a dual incision mechanism that involves base-specific contacts.,1997,16,1464,1472,9135161,NULL
8578,"Fogg, J.M., Schofield, M.J., White, M.F. and Lilley, D.M.",Sequence and functional-group specificity for cleavage of DNA junctions by RuvC of Escherichia coli.,1999,38,11349,11358,10471285,NULL
8579,"Middleton, C.L., Parker, J.L., Richard, D.J., White, M.F. and Bond, C.S.","Crystallization and preliminary X-ray diffraction studies of Hje, a Holliday junction resolving enzyme from Sulfolobus solfataricus.",2003,59,171,173,12499561,NULL
8580,"Ghosh, S. and DasGupta, U.",Studies with endonuclease X: a new deoxyendonuclease of E. coli that preferentially cleaves supercoiled plasmid DNA.,1984,12,79,88,NULL,NULL
8581,"Braun, A.G., Radman, M. and Grossman, L.",Enzymic repair of DNA: sites of hydrolysis by the Escherichia coli endonuclease specific for pyrimidine dimers (corendonuclease II).,1976,15,4116,4120,NULL,NULL
8582,"Riazuddin, S. and Grossman, L.",Micrococcus luteus correndonucleases. II. Mechanism of action of two endonucleases specific for DNA containing pyrimidine dimers.,1977,252,6287,6293,330526,77249571
8583,"Hiramaru, M., Uchida, T. and Egami, F.",Studies on two nucleases and a ribonuclease from Physarum polycephalum. Purification and mode of action.,1969,65,701,708,5817397,69279418
8584,"Norton, J. and Roth, J.S.",A ribonuclease specific for 2'-O-methylated ribonucleic acid.,1967,242,2029,2034,6022850,67134322
8585,"Crouch, R.J.",Ribonuclease 3 does not degrade deoxyribonucleic acid-ribonucleic acid hybrids.,1974,249,1314,1316,4592261,74107442
8586,"Rech, J., Cathala, G. and Jeanteur, P.",Isolation and characterization of a ribonuclease activity specific for double-stranded RNA (RNase D) from Krebs II ascites cells.,1980,255,6700,6706,6248530,80227825
8587,"Robertson, H.D., Webster, R.E. and Zinder, N.D.",Purification and properties of ribonuclease III from Escherichia coli.,1968,243,82,91,4865702,68123770
8588,"Grunberg-Manago, M.",Messenger RNA stability and its role in control of gene expression in bacteria and phages.,1999,33,193,227,10690408,78190628
8589,"Court, D.",RNA processing and degradation by RNase III in control of mRNA stability.,1993,NULL,71,116,NULL,NULL
8590,"Zhang, K. and Nicholson, A.W.",Regulation of ribonuclease III processing by double-helical sequence antideterminants.,1997,94,13437,13441,9391043,NULL
8591,"Haberkern, R.C. and Cantoni, G.L.",Studies on a calf thymus ribonuclease specific for ribonucleic acid-deoxyribonucleic acid hybrids.,1973,12,2389,2395,4709937,73192329
8592,"Stavrianopoulos, J.G. and Chargaff, E.",Purification and properties of ribonuclease H of calf thymus.,1973,70,1959,1963,4516197,73229640
8593,"Bikoff, E.K. and Gefter, M.L.",In vitro synthesis of transfer RNA. I. Purification of required components.,1975,250,6240,6247,1099089,76005487
8594,"Bikoff, E.K., La Rue, B.F. and Gefter, M.L.",In vitro synthesis of transfer RNA. II. Identification of required enzymatic activities.,1975,250,6248,6255,1099090,76005488
8595,"Robertson, H.D., Altman, S. and Smith, J.D.",Purification and properties of a specific Escherichia coli ribonuclease which cleaves a tyrosine transfer ribonucleic acid presursor.,1972,247,5243,5251,4560501,72270258
8596,"Mueller, E.G.",Endoribonuclease IV. A poly(A)-specific ribonuclease from chick oviduct. 1. Purification of the enzyme.,1976,70,241,248,1009928,77090990
8597,"Mueller, E.G., Seibert, G., Steffen, R. and Zahn, R.K.",Endoribonuclease IV. 2. Further investigation on the specificity.,1976,70,249,258,1009929,77090991
8598,"Sekiya, T., Contreras, R., Takeya, T. and Khorana, H.G.","Total synthesis of a tyrosine suppressor transfer RNA gene. XVII. Transcription, in vitro, of the synthetic gene and processing of the primary transcript to transfer RNA.",1979,254,5802,5816,109442,79194133
8599,"Sogin, M.L., Pace, B. and Pace, N.R.",Partial purification and properties of a ribosomal RNA maturation endonuclease from Bacillus subtilis.,1977,252,1350,1357,402365,77118611
8600,"Bachmann, M., Trautmann, F., Messer, R., Zahn, R.K., Meyer zum Bueschenfelde, K.H. and Mueller, W.E.G.",Association of a polyuridylate-specific endoribonuclease with small nuclear ribonucleo-proteins which had been isolated by affinity chromatography using antibodies from a patient with systemic lupus erythematosus.,1983,136,447,451,6227485,84057803
8601,"Sideris, D.C. and Fragoulis, E.G.",Purification and characterization of a ribonuclease specific for poly(U) and poly(C) from the larvae of Ceratitis capitata.,1987,164,309,315,3569265,87190396
8602,"Schiffer, S., Roesch, S. and Marchfelder, A.",Assigning a function to a conserved group of proteins: the tRNA 3'-processing enzymes.,2002,21,2769,2777,12032089,NULL
8603,"Mayer, M., Schiffer, S. and Marchfelder, A.",tRNA 3' processing in plants: nuclear and mitochondrial activities differ.,2000,39,2096,2105,10684660,NULL
8604,"Schiffer, S., Helm, M., Theobald-Dietrich, A., Giege, R. and Marchfelder, A.",The plant tRNA 3' processing enzyme has a broad substrate spectrum.,2001,40,8264,8272,11444972,NULL
8605,"Kunzmann, A., Brennicke, A. and Marchfelder, A.",5' end maturation and RNA editing have to precede tRNA 3' processing in plant mitochondria.,1998,95,108,113,9419337,NULL
8606,"Moerl, M. and Marchfelder, A.",The final cut. The importance of tRNA 3'-processing.,2001,2,17,20,11252717,NULL
8607,"Minagawa, A., Takaku, H., Takagi, M. and Nashimoto, M.",A novel endonucleolytic mechanism to generate the CCA 3' termini of tRNA molecules in Thermotoga maritima.,2004,279,15688,15697,14749326,NULL
8608,"Takaku, H., Minagawa, A., Takagi, M. and Nashimoto, M.",A candidate prostate cancer susceptibility gene encodes tRNA 3' processing endoribonuclease.,2003,31,2272,2278,12711671,NULL
8609,"Feng, Y., Vickers, T.A. and Cohen, S.N.",The catalytic domain of RNase E shows inherent 3' to 5' directionality in cleavage site selection.,2002,99,14746,14751,12417756,NULL
8610,"Ehretsmann, C.P., Carpousis, A.J. and Krisch, H.M.",Specificity of Escherichia coli endoribonuclease RNase E: in vivo and in vitro analysis of mutants in a bacteriophage T4 mRNA processing site.,1992,6,149,159,1730408,NULL
8611,"Cormack, R.S., Genereaux, J.L. and Mackie, G.A.","RNase E activity is conferred by a single polypeptide: overexpression, purification, and properties of the ams/rne/hmp1 gene product.",1993,90,9006,9010,8415644,NULL
8612,"Vanzo, N.F., Li, Y.S., Py, B., Blum, E., Higgins, C.F., Raynal, L.C., Krisch, H.M. and Carpousis, A.J.",Ribonuclease E organizes the protein interactions in the Escherichia coli RNA degradosome.,1998,12,2770,2781,9732274,NULL
8613,"Steege, D.A.",Emerging features of mRNA decay in bacteria.,2000,6,1079,1090,10943888,NULL
8614,"Callaghan, A.J., Grossmann, J.G., Redko, Y.U., Ilag, L.L., Moncrieffe, M.C., Symmons, M.F., Robinson, C.V., McDowall, K.J. and Luisi, B.F.",Quaternary structure and catalytic activity of the Escherichia coli ribonuclease E amino-terminal catalytic domain.,2003,42,13848,13855,14636052,NULL
8615,"Schultz, S. J., Zhang, M., Champoux, J. J.",Recognition of internal cleavage sites by retroviral RNases H.,2004,344,635,652,15533434,NULL
8616,"Sarafianos, S. G., Das, K., Tantillo, C., Clark, A. D., Ding, J., Whitcomb, J. M., Boyer, P. L., Hughes, S. H., Arnold, E.",Crystal structure of HIV-1 reverse transcriptase in complex with a polypurine tract RNA:DNA.,2001,20,1449,1461,11250910,NULL
